data,letter,category_id
adana,A,1
antalija,A,1
ašhabad,A,1
abudabi,A,1
aberdin,A,1
avr,A,1
anžer,A,1
amsterdam,A,1
ajndhoven,A,1
almere,A,1
alikante,A,1
aleksinac,A,1
ada,A,1
aleksandrovac,A,1
aleksinački rudnik,A,1
alibunar,A,1
arilje,A,1
andrijevica,A,1
arhangeljsk,A,1
arhangelsk,A,1
amšteten,A,1
acimovići,A,1
adaševci,A,1
adorjan,A,1
adrani,A,1
adrovac,A,1
adžt,A,1
adžine livade,A,1
adžići,A,1
ahmote,A,1
ajdačići,A,1
akmačići,A,1
alabana,A,1
alakince,A,1
albanci,A,1
albanija,A,1
aldinareka,A,1
aldinac,A,1
aleksa šantić,A,1
aleksandrovo,A,1
aleksine,A,1
aleksići,A,1
alin potok,A,1
aliveroviće,A,1
aliđerce,A,1
aljinovići,A,1
aljudovo,A,1
aluloviće,A,1
amajić,A,1
amarevi,A,1
amerić,A,1
amzići,A,1
andići,A,1
angelince,A,1
aničići,A,1
antići,A,1
anđelinkovci,A,1
anđelkovska mahala,A,1
aradac,A,1
arapovac,A,1
arapoviće,A,1
arbanasce,A,1
arbanaška,A,1
aritonova mahala,A,1
arnajevo,A,1
arnautska mahala,A,1
asanovac,A,1
asmanska mahala,A,1
ategan mahala,A,1
atenica,A,1
avramovići,A,1
azanja,A,1
azbresnica,A,1
ašani,A,1
ašanja,A,1
abram,A,1
abramovići,A,1
adamovec,A,1
adamovići,A,1
adolfovo,A,1
ajduci,A,1
ajduković brdo,A,1
ajđerovac,A,1
akmadžići,A,1
akrap,A,1
alaginci,A,1
alan,A,1
albertinovac,A,1
aleksandrovac mikleuški,A,1
aleksandrovac požeški,A,1
alerići,A,1
alivojvodići,A,1
aljmaš,A,1
amatovci,A,1
amižići,A,1
andraševec,A,1
andrijaševci,A,1
antića glavica,A,1
antenal,A,1
antonci,A,1
antunovac,A,1
ančići,A,1
apatovac,A,1
apševci,A,1
arambašići,A,1
aračići,A,1
arbanasi,A,1
arbanija,A,1
arbutine,A,1
arule,A,1
aržano,A,1
ašikovci,A,1
abzi kula,A,1
adilovići,A,1
adrovići,A,1
agovica,A,1
ahmedmujovići,A,1
alagindo,A,1
alibrahimaj,A,1
alilovce,A,1
alići,A,1
alje,A,1
aluga,A,1
aluge,A,1
ambula,A,1
ametovina,A,1
andrijevo,A,1
andrići,A,1
andričići,A,1
androvići,A,1
andželati,A,1
arapi,A,1
arbanaško,A,1
arbneš,A,1
arza,A,1
avlija,A,1
avtenice,A,1
abdulići,A,1
azanja,A,1
adžića ograde,A,1
agarovići,A,1
aginci,A,1
agino selo,A,1
agići,A,1
ahmenovo polje,A,1
ahmetovci,A,1
ahmići,A,1
ahmovići,A,1
ahovo,A,1
aladuzi,A,1
alagići,A,1
aleksina međa,A,1
alibegovići,A,1
alibegovći,A,1
alipašino polje,A,1
amajlije,A,1
aranđelovo,A,1
arapovače,A,1
arapuša,A,1
argud,A,1
arnautovići,A,1
arslanagića most,A,1
ataševac,A,1
atlić mahala,A,1
atmačići,A,1
avramovina,A,1
avtovac,A,1
azapovići,A,1
azići,A,1
ahen,A,1
arad,A,1
bačka palanka,A,1
bačka topola,B,1
beograd,B,1
bečej,B,1
bor,B,1
baku,B,1
buenos ajres,B,1
brizbejn,B,1
bridžtaun,B,1
brisel,B,1
briž,B,1
belmopan,B,1
belize,B,1
brest,B,1
banja luka,B,1
bijeljina,B,1
brčko,B,1
bihać,B,1
brazilija,B,1
belo orizonte,B,1
burgas,B,1
budžumbura,B,1
bandžul,B,1
bisau,B,1
batumi,B,1
ber,B,1
bulavajo,B,1
bangalor,B,1
bagdad,B,1
basra,B,1
bolonja,B,1
bari,B,1
breša,B,1
blumfontejn,B,1
batambang,B,1
biškek,B,1
bogota,B,1
brazavil,B,1
busan,B,1
bejrut,B,1
bengazi,B,1
budimpešta,B,1
bitolj,B,1
blantir,B,1
bamako,B,1
birkirkara,B,1
berlin,B,1
bremen,B,1
bergen,B,1
bode,B,1
braga,B,1
bukurešt,B,1
brašov,B,1
borgomađore,B,1
baster,B,1
bratislava,B,1
berkli,B,1
boston,B,1
baltimor,B,1
bafalo,B,1
banska bistrica,B,1
bangkok,B,1
bizerta,B,1
bursa,B,1
bodrum,B,1
birmingem,B,1
bristol,B,1
belfast,B,1
buhara,B,1
bordo,B,1
breda,B,1
bjelovar,B,1
bangi,B,1
bijelo polje,B,1
bar,B,1
berane,B,1
budva,B,1
brno,B,1
bazel,B,1
bern,B,1
barselona,B,1
bilbao,B,1
bugojno,B,1
beč,B,1
bečići,B,1
babušnica,B,1
batočina,B,1
bajina bašta,B,1
bajmok,B,1
baljevac,B,1
banatski karlovac,B,1
banja koviljača,B,1
bač,B,1
bački jarak,B,1
bački petrovac,B,1
bela palanka,B,1
bela crkva,B,1
beli potok,B,1
belo polje,B,1
beočin,B,1
blace,B,1
bogovina,B,1
boljevac,B,1
borča,B,1
bosilegrad,B,1
brza palanka,B,1
brus,B,1
bujanovac,B,1
bosanska krupa,B,1
bosanska gradiška,B,1
bileća,B,1
bijela,B,1
burtaiši,B,1
bakar,B,1
beli manastir,B,1
belišće,B,1
benkovac,B,1
biograd na moru,B,1
buje,B,1
buzet,B,1
bitola,B,1
banovići,B,1
berkovići,B,1
blagaj,B,1
bosanska dubica,B,1
bosansko grahovo,B,1
bosanska kostajnica,B,1
bosanski brod,B,1
bosanski novi,B,1
bosanski petrovac,B,1
bosanski šamac,B,1
bratunac,B,1
breza,B,1
busovača,B,1
bužim,B,1
babajić,B,1
babatrenci,B,1
babe,B,1
babindol,B,1
babin kal,B,1
babina luka,B,1
babina poljana,B,1
babići,B,1
babičko,B,1
babotinac,B,1
bace,B,1
bacijevce,B,1
badanj,B,1
badince,B,1
badljevica,B,1
badnjevac,B,1
badovinci,B,1
bagačiće,B,1
bagrdan,B,1
bagremovo,B,1
bainovska mahala,B,1
bajevac,B,1
bajevica,B,1
bajinci,B,1
bajinova mahala,B,1
bajića kraj,B,1
bajnovići,B,1
bajovići,B,1
bajčetina,B,1
bajčince,B,1
bajša,B,1
bakionica,B,1
balajinac,B,1
balajnac,B,1
balanovac,B,1
balinac,B,1
balinovac,B,1
balinovce,B,1
balinović,B,1
balići,B,1
baličevac,B,1
baljen,B,1
baljkovac,B,1
balosave,B,1
balta berilovac,B,1
baltijance,B,1
baluga ljubićka,B,1
baluga trnavska,B,1
balčak,B,1
banatska dubica,B,1
banatska palanka,B,1
banatska subotica,B,1
banatska topola,B,1
banatski brestovac,B,1
banatski despotovac,B,1
banatski dvor,B,1
banatski monoštor,B,1
banatski sokolac,B,1
banatsko aranđelovo,B,1
banatsko karađorđevo,B,1
banatsko novo selo,B,1
banatsko veliko selo,B,1
banatsko višnjićevo,B,1
bancarevo,B,1
baničina,B,1
banja,B,1
banjani,B,1
banjevac,B,1
banjica,B,1
banjskidol,B,1
bankovac,B,1
bankovci,B,1
banovo polje,B,1
banoštor,B,1
bapsko polje,B,1
bara,B,1
barajevo,B,1
barakovići,B,1
baraljevac,B,1
baranda,B,1
baratarci,B,1
baratarska mahala,B,1
barati,B,1
barbace,B,1
barbarušince,B,1
barbatovac,B,1
bare,B,1
barelić,B,1
barica,B,1
barice,B,1
barič,B,1
barje,B,1
barje čiflik,B,1
barlovo,B,1
baroševac,B,1
barzilovica,B,1
bastav,B,1
batajnica,B,1
batalage,B,1
batinac,B,1
batnjik,B,1
batote,B,1
batovac,B,1
batrage,B,1
batrovci,B,1
batulovce,B,1
batušinac,B,1
bavanište,B,1
bazovik,B,1
baćevac,B,1
baćoglava,B,1
bačevci,B,1
bačevica,B,1
bačevina,B,1
bačevište,B,1
bačevo,B,1
bačija,B,1
bačilovina,B,1
bačina,B,1
bačinac,B,1
bačinci,B,1
bačiće,B,1
bački breg,B,1
bački brestovac,B,1
bački gračac,B,1
bački monoštor,B,1
bački sokolac,B,1
bački vinogradi,B,1
bačko dobro polje,B,1
bačko dušanovo,B,1
bačko gradište,B,1
bačko novo selo,B,1
bačko petrovo selo,B,1
bačvište,B,1
bašaid,B,1
bašejci,B,1
bašin,B,1
baščeluci,B,1
becanj,B,1
bedina varoš,B,1
begaljica,B,1
begejci,B,1
begeč,B,1
begovi,B,1
bekrici,B,1
bela reka,B,1
bela stena,B,1
bela voda,B,1
bela novica,B,1
belasica,B,1
belbradić,B,1
bele vode,B,1
belegiš,B,1
beligaj,B,1
beliševo,B,1
beljajka,B,1
beljevac,B,1
beljin,B,1
beljina,B,1
belo blato,B,1
belogoš,B,1
beloinje,B,1
beloljin,B,1
belosavci,B,1
belotinac,B,1
belotić,B,1
beloševac,B,1
belut,B,1
belušić,B,1
bent,B,1
beoci,B,1
beomužević,B,1
beočić,B,1
beranje,B,1
berbatovo,B,1
berduj,B,1
berilje,B,1
berilovac,B,1
berin izvor,B,1
berišane,B,1
berkasovo,B,1
berkovac,B,1
berlovine,B,1
berovica,B,1
berčevac,B,1
berčinac,B,1
berčinovac,B,1
beršići,B,1
beserovina,B,1
bezdan,B,1
bečevica,B,1
bečmen,B,1
bešenovački prnjavor,B,1
bešenovo,B,1
beška,B,1
bežanija,B,1
bežište,B,1
bigla,B,1
biglar,B,1
bigrenica,B,1
bikač,B,1
bikinje,B,1
bikićdo,B,1
bikovo,B,1
bilace,B,1
bilići,B,1
biljanovac,B,1
biljeg,B,1
bingula,B,1
biniće,B,1
binovac,B,1
binovce,B,1
bioc,B,1
biohane,B,1
bioska,B,1
biočin,B,1
biskupići,B,1
biskuplje,B,1
bistar,B,1
bistrica,B,1
bitvrđa,B,1
bizaci,B,1
bjelohova,B,1
bjeloperica,B,1
bjelotići,B,1
bjeluša,B,1
blagojev kamen,B,1
blagojevići,B,1
blagun,B,1
blaževo,B,1
blendija,B,1
bliznaci,B,1
bliznak,B,1
bliznačka mahala,B,1
blizonje,B,1
bobajaninci,B,1
bobarina buka,B,1
bobište,B,1
bobote,B,1
bobova,B,1
bobovik,B,1
bobovište,B,1
bobovo,B,1
bodušmala,B,1
bogalinac,B,1
bogaraš,B,1
bogaroš,B,1
bogatić,B,1
bogava,B,1
bogdanica,B,1
bogdanje,B,1
bogdanova mahala,B,1
bogdanovac,B,1
bogdanovci,B,1
bogdanovica,B,1
bogdanska mahala,B,1
bogdinac,B,1
bogiše,B,1
bogojevac,B,1
bogojevce,B,1
bogojevići,B,1
bogojevo,B,1
bogosavac,B,1
bogoslovtrad,B,1
bogovađa,B,1
bogoševo,B,1
bogoštica,B,1
bogunovac,B,1
boguti,B,1
bogutovac,B,1
bojadžici,B,1
bojanići,B,1
bojindel,B,1
bojince,B,1
bojinska mahala,B,1
bojić,B,1
bojišina,B,1
bojkova mahala,B,1
bojnik,B,1
bojovići,B,1
boka,B,1
boleč,B,1
boljare,B,1
boljetin,B,1
boljevdol,B,1
boljevci,B,1
boljkovci,B,1
bondžačka mahala,B,1
boranci,B,1
boranja,B,1
borač,B,1
borindol,B,1
borince,B,1
borisnovkov,B,1
borička mahala,B,1
borišiće,B,1
borovac,B,1
borovec,B,1
boroviće,B,1
boroštica,B,1
bosance,B,1
bosačka mahala,B,1
bostajnci,B,1
bosut,B,1
botoš,B,1
botunja,B,1
botunje,B,1
boturići,B,1
boturovina,B,1
bovan,B,1
bozoljin,B,1
boćevica,B,1
bočar,B,1
bođani,B,1
bošnjace,B,1
bošnjaci,B,1
bošnjak,B,1
bošnjane,B,1
bošnjanović,B,1
božanići,B,1
boždarevac,B,1
božetići,B,1
boževac,B,1
božica,B,1
božilovi,B,1
božinjevac,B,1
božinovac,B,1
božov potok,B,1
božovići,B,1
božurevac,B,1
božurnja,B,1
bradarac,B,1
bradić,B,1
brainovac,B,1
brajanovići,B,1
brajkovac,B,1
brangović,B,1
braničevo,B,1
branjevac,B,1
branjovica,B,1
brankovci,B,1
brankovina,B,1
branoševac,B,1
brančić,B,1
brasina,B,1
bratinac,B,1
bratići,B,1
bratiševac,B,1
bratljevo,B,1
bratmilovce,B,1
bratoselce,B,1
braćak,B,1
braćevac,B,1
bračin,B,1
brdarica,B,1
brdo,B,1
brebevnica,B,1
bregovina,B,1
brejanovce,B,1
brekovo,B,1
breska,B,1
bresnica,B,1
bresničić,B,1
bresno polje,B,1
brestač,B,1
brestovdol,B,1
brestovac,B,1
brestovi,B,1
brestovik,B,1
brezjak,B,1
brezna,B,1
brezovčani,B,1
brežane,B,1
brežde,B,1
brežđe,B,1
brgule,B,1
brgulice,B,1
brisić,B,1
bričevlje,B,1
bričko,B,1
brlog,B,1
brnjac,B,1
brnjare,B,1
brnjaš,B,1
brodarevo,B,1
brović,B,1
bročare mahala,B,1
brvenik,B,1
brvine,B,1
brza,B,1
brzaci,B,1
brzan,B,1
brzeće,B,1
brzibrod,B,1
brzina mahala,B,1
brzohode,B,1
brđani,B,1
brštica,B,1
buar,B,1
bubanj,B,1
bubanj potok,B,1
bubevci,B,1
bublica,B,1
bubušinac,B,1
bucure,B,1
budilovina,B,1
budisava,B,1
budišić,B,1
budoželja,B,1
bujanovc,B,1
bujačić,B,1
bujić,B,1
bujkovac,B,1
bujkoviće,B,1
bujmir,B,1
bukarci,B,1
bukare,B,1
bukoloram,B,1
bukor,B,1
bukorovac,B,1
bukova glava,B,1
bukova padina,B,1
bukovac,B,1
bukovce,B,1
bukovica,B,1
bukovik,B,1
bukovska,B,1
bukovče,B,1
bukreš,B,1
bukurevac,B,1
bukurovac,B,1
bulatovac,B,1
bulimačevska mahala,B,1
bulinovac,B,1
buljan,B,1
buljesovce,B,1
bulutanska mahala,B,1
bumbarevo  brdo,B,1
bumbarska mahala,B,1
bumbule,B,1
bunar,B,1
bunjčevi,B,1
bunuševce,B,1
bunuški čifluk,B,1
burađa,B,1
burdimo,B,1
burovac,B,1
burovo,B,1
busenje,B,1
busilovac,B,1
busur,B,1
buvce,B,1
bučince,B,1
bučić,B,1
bučje,B,1
bučum,B,1
buđanovci,B,1
buđevo,B,1
buštranje,B,1
bzenice,B,1
bzovik,B,1
babani,B,1
babin kraj,B,1
babina greda,B,1
babino polje,B,1
babotok,B,1
baderna,B,1
badljevina,B,1
badžula,B,1
bair,B,1
bajića glavica,B,1
bajići,B,1
bajlo,B,1
bajto,B,1
bajčići,B,1
bakarac,B,1
bakić,B,1
bakići,B,1
bakovići,B,1
bakovčica,B,1
bakrač,B,1
balajić marmun,B,1
baldaši,B,1
bale,B,1
baleta,B,1
baletići,B,1
baljci,B,1
balte,B,1
bande,B,1
bandića,B,1
bandići,B,1
bandove,B,1
bani,B,1
banići,B,1
baničevac,B,1
baničevec rakovečki,B,1
banj,B,1
banjanci,B,1
banjanin,B,1
banja selo,B,1
banjol,B,1
banjole,B,1
banova jaruga,B,1
banovci,B,1
banska selnica,B,1
banščica,B,1
bapska,B,1
baranjsko petrovo selo,B,1
baranovac,B,1
barat,B,1
baratto,B,1
baraći,B,1
barači,B,1
barban,B,1
barbarići kravarski,B,1
barbat,B,1
barbići,B,1
baren,B,1
barilović,B,1
barić selo,B,1
barići,B,1
barnjača,B,1
bartolovci,B,1
bartolovec,B,1
barutana,B,1
basara,B,1
basare,B,1
basarića draga,B,1
basarići,B,1
basići,B,1
baste,B,1
batina,B,1
batinići,B,1
batinjani pakrački,B,1
batinjani podborski,B,1
batinska,B,1
batlan,B,1
batlug,B,1
batnoga,B,1
batrina,B,1
batva,B,1
bazići,B,1
belčin dol,B,1
bacindol,B,1
bačva,B,1
bađinec,B,1
bašanija,B,1
baše,B,1
bašini,B,1
bašići,B,1
baška,B,1
baška voda,B,1
bašte,B,1
beare,B,1
bebrina,B,1
bedekovčina,B,1
bedenec,B,1
bedenica,B,1
bednja,B,1
begovac plaščanski,B,1
begovača,B,1
begove drage,B,1
begovo brdo,B,1
begovo razdolje,B,1
bekavci,B,1
beke,B,1
bektež,B,1
bela loza,B,1
belaići,B,1
belaj,B,1
belej,B,1
beletinec,B,1
beletićev breg,B,1
beli,B,1
belica,B,1
belinovača,B,1
belovar,B,1
beničanci,B,1
benkovac fužinski,B,1
benkovac okučanski,B,1
benzani,B,1
benčići,B,1
berak,B,1
beram,B,1
berek,B,1
beretinec,B,1
bestovje,B,1
betina,B,1
beusi,B,1
bezboge,B,1
bezina,B,1
bečić,B,1
beširi,B,1
bešlinac,B,1
bešlinec,B,1
bibinje,B,1
bijader,B,1
bijela stijena,B,1
bijelci,B,1
bijele vode,B,1
bijeli potok,B,1
bijeli vir,B,1
bijelnik,B,1
bijelo brdo,B,1
bijenik,B,1
bila vlaka,B,1
bilice,B,1
bilin,B,1
bilića gradina,B,1
bilišane,B,1
bilišane donje,B,1
bilje,B,1
bilocetinsko,B,1
bilokapići,B,1
bilopavlovići,B,1
biloši,B,1
bilušić,B,1
biovičino selo,B,1
birači,B,1
bisko,B,1
biskupija,B,1
bistrinci,B,1
bitange,B,1
bitunjac,B,1
bizovac,B,1
biševo,B,1
biškupec zelinski,B,1
bjelanovac,B,1
bjelina,B,1
bjelići,B,1
bjeliševac,B,1
bjelje,B,1
bjelo polje,B,1
blagorodovac,B,1
blaguša,B,1
blanuše,B,1
blatnica,B,1
blatnica pokupska,B,1
blatnice,B,1
blato,B,1
blato na cetini,B,1
blatuša,B,1
blaškovec,B,1
blaževdol,B,1
blaževići,B,1
blebići,B,1
blinja,B,1
blinjskikut,B,1
boban,B,1
bobanci,B,1
bobani,B,1
bobere,B,1
bobodol,B,1
bobota,B,1
bobovišće,B,1
bockovci,B,1
bodrožići,B,1
bogdani,B,1
bogdanovići,B,1
bogevići,B,1
bogomolje,B,1
bogovići,B,1
bojana,B,1
bojići,B,1
bokane,B,1
bokani,B,1
boko,B,1
bokordići,B,1
bokšić,B,1
bokšići,B,1
bol,B,1
bolfan,B,1
boljenovići,B,1
boljun,B,1
bolman,B,1
bolč,B,1
boraja,B,1
borinići,B,1
boričevac,B,1
boričevci,B,1
borkovići,B,1
borojevci,B,1
borojevići,B,1
borova,B,1
borovci,B,1
borovik,B,1
borovići,B,1
borovo,B,1
borovo naselje,B,1
borut,B,1
bosanci,B,1
bosanka,B,1
bosančići,B,1
bosiljevo,B,1
bosiljevo česmansko,B,1
bosnići,B,1
bote,B,1
botinec,B,1
botinovec,B,1
botić,B,1
botići,B,1
bović,B,1
božava,B,1
božinovići,B,1
božić,B,1
božić brdo,B,1
božići,B,1
bradarići,B,1
brajakovo brdo,B,1
brajdići,B,1
brajinovići,B,1
brajkovići,B,1
bralići,B,1
braluša,B,1
brana,B,1
branešci,B,1
branilovići,B,1
branjin vrh,B,1
branjina,B,1
braovići,B,1
bratitovo,B,1
bratiškovici,B,1
bratus,B,1
bravići,B,1
bračevci,B,1
bračulji,B,1
brašina,B,1
brbinj,B,1
brckovljani,B,1
brdari,B,1
brdo dragaševo,B,1
brdo vejnoviča,B,1
brdovec,B,1
brebernica,B,1
breg,B,1
bregana,B,1
bregi kostelski,B,1
bregi radobojski,B,1
brekinska,B,1
brela,B,1
bresnica požeška,B,1
brest pokupski,B,1
brestovac daruvarski,B,1
brezik našički,B,1
brezine,B,1
brezje dravsko,B,1
brezje dubravsko,B,1
brezje miholečko,B,1
breznica,B,1
breznica našička,B,1
breznica đakovačka,B,1
breznički hum,B,1
brezno drežničko,B,1
brezno gora,B,1
brezova glava,B,1
brezovac,B,1
brezovac dobroselski,B,1
brezovac subocki,B,1
brezovec,B,1
brezovica,B,1
brezovljani,B,1
breštanovci,B,1
brežane lekeničke,B,1
brgudac,B,1
brig,B,1
brijest,B,1
brijuni,B,1
brikva,B,1
brinje,B,1
brist,B,1
bristivica,B,1
britanski trg,B,1
brištane,B,1
brkač,B,1
brkići,B,1
brkljači,B,1
brna,B,1
brnasi,B,1
brnaze,B,1
brnjići,B,1
brod moravice,B,1
brod na kupi,B,1
brodarica,B,1
brodski stupnik,B,1
brodski varoš,B,1
brodski zdenci,B,1
brotnja,B,1
brovinje,B,1
bročanac,B,1
bročice,B,1
brođanci,B,1
brseč,B,1
brsečine,B,1
brtonigla,B,1
brubno,B,1
brusići,B,1
brusje,B,1
bruvno,B,1
brušane,B,1
bruška,B,1
brzac,B,1
brčići,B,1
brđani cesta,B,1
brđani šamarički,B,1
bršadin,B,1
bubale,B,1
bubani,B,1
bubinka,B,1
bubnjarci,B,1
bubonje,B,1
budalići,B,1
budančevica,B,1
budačka rijeka,B,1
budaševo,B,1
budim,B,1
budimir,B,1
budimir bekan,B,1
budimiri,B,1
budimlje,B,1
budinšćina,B,1
budići,B,1
budrovac,B,1
budrovac lukački,B,1
budrovci,B,1
bugarini,B,1
buići,B,1
bujadnice,B,1
bujinja,B,1
bukevje,B,1
buklijaši,B,1
bukovac perjasički,B,1
bukovec zelinski,B,1
bukovica čemernička,B,1
buković,B,1
bukovje,B,1
bukovje bistransko,B,1
bukovje križevačko,B,1
bukovlje,B,1
bukurovići,B,1
bulati,B,1
buliga,B,1
bulinac,B,1
bulja,B,1
buljani,B,1
buljubašići,B,1
bulovići,B,1
bunica,B,1
bunić,B,1
bunja,B,1
bunjani,B,1
burazin donji,B,1
burazin gornji,B,1
burići,B,1
buroli,B,1
bursaći,B,1
busnovi,B,1
butige,B,1
butijeri,B,1
butkovine,B,1
butkovići,B,1
butorci,B,1
buzdohanj,B,1
buzdovačići,B,1
buzeta,B,1
buzin,B,1
bučani,B,1
bučička slatina,B,1
bučje gorjansko,B,1
bušelići,B,1
bušetina,B,1
buševec,B,1
buzim,B,1
bužinija,B,1
bzenica,B,1
babaići,B,1
babalonija,B,1
babačići,B,1
babin,B,1
babino brdo,B,1
babića mala,B,1
babića polje,B,1
babljak,B,1
babljače,B,1
babunci,B,1
bacovići,B,1
bailovići,B,1
bajdo,B,1
bajice,B,1
bajov do,B,1
bajov kamen,B,1
bajovo polje,B,1
bajraktari,B,1
bakije,B,1
bakoči,B,1
bakrenjače,B,1
balabani,B,1
balotići,B,1
baloči,B,1
bamburi,B,1
ban,B,1
ban-lug,B,1
bandička župa,B,1
bandžov,B,1
banje brdo,B,1
banje selo,B,1
banovina,B,1
bančić brdo,B,1
baošići,B,1
bapsula,B,1
baran selo,B,1
bardići,B,1
bare ajdinovića,B,1
bare šumanovića,B,1
bare žugića,B,1
barjamovica,B,1
barlaj,B,1
barnido,B,1
bartula,B,1
bastahe,B,1
bastasi,B,1
bata,B,1
batal,B,1
batute,B,1
bavčići,B,1
bazagur,B,1
bazdan,B,1
bać,B,1
bačevac,B,1
bačevine,B,1
bačevnik,B,1
bačkovine,B,1
bašino selo,B,1
bašće,B,1
baščinovići,B,1
bedem,B,1
begar,B,1
begova dol,B,1
begova glavica,B,1
begova luka,B,1
begovina,B,1
begovići,B,1
beljkasi,B,1
beljkovići,B,1
belovina,B,1
beluševac,B,1
belveder,B,1
benkaj,B,1
beranselo,B,1
beri,B,1
berislavci,B,1
berjaši,B,1
berova,B,1
bes,B,1
bezjovo,B,1
bezuje,B,1
bečko korito,B,1
beševina,B,1
bigor,B,1
bigovo,B,1
bijedanj,B,1
bijedići,B,1
bijediči,B,1
bijela crkva,B,1
bijela glavica,B,1
bijela voda,B,1
bijele poljane,B,1
biokovac,B,1
biorići,B,1
bioča,B,1
bioče,B,1
birač,B,1
bisač,B,1
biserna obala,B,1
bistrica lipovska,B,1
bistrica moračka,B,1
bistrice,B,1
